,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
478,Lavumisa,-27.31,31.89,293.43,90,79,1.55
479,Sibolga,1.74,98.78,298.15,75,91,1.41
480,Siljan,59.29,9.71,279.82,93,68,0.89
481,Coyhaique,-45.58,-72.07,278.15,93,90,3.6
482,Flin Flon,54.77,-101.86,271.15,79,90,1.5
483,Santiago de Cao,-7.96,-79.24,290.06,89,83,4.35
484,Rome,43.21,-75.46,279.15,87,90,1.63
485,Zaranj,30.97,61.88,288.95,30,0,8.89
486,Pringsewu,-5.36,104.97,298.04,80,96,2.14
487,Tsumeb,-19.23,17.72,297.88,19,86,4.33
488,Enshi,30.3,109.48,287.05,83,100,1.3
489,Caucayá,-0.19,-74.78,301.17,67,87,1.43
490,Baruun-Urt,46.68,113.28,270.62,76,0,3.11
491,Port-Gentil,-0.72,8.78,299.15,88,75,3.1
492,Brackenheim,49.08,9.06,282.59,75,69,3.52
493,Haguenau,48.82,7.79,285.37,62,79,7.7
494,Half Moon Bay,37.46,-122.43,297.15,39,1,6.2
495,Misratah,32.38,15.09,293.52,66,2,8.35
496,Inírida,3.87,-67.92,298.36,93,98,1.59
497,Road Town,18.42,-64.62,300.15,83,75,3.1
498,Diffa,13.32,12.61,299.39,19,4,4.2
499,Cherskiy,68.75,161.3,263.14,92,100,3.97
500,Sīrjān,29.45,55.68,282.06,43,0,2.17
501,Bukama,-9.2,25.85,295.03,90,73,1.13
502,Macao,22.2,113.55,298.15,78,20,5.7
503,Ahipara,-35.17,173.17,294.09,61,52,1.57
504,Benguela,-12.58,13.41,296.62,81,16,2.52
505,Takaka,-40.85,172.8,288.15,69,100,3.13
506,Ponta Delgada,37.73,-25.67,291.15,59,75,2.6
507,Kadnikov,59.5,40.34,278.65,91,93,4.55
508,Nemuro,43.32,145.57,283.15,76,75,1.0
509,North Bend,43.41,-124.22,287.15,67,1,8.2
510,Lucapa,-8.42,20.74,292.93,98,100,0.63
511,Bilibino,68.05,166.44,256.94,90,87,0.84
512,Tayzhina,53.67,87.44,277.81,87,100,2.79
513,Loíza,18.43,-65.88,301.15,88,75,5.1
514,Takelsa,36.78,10.63,288.15,72,40,5.1
515,Suriāpet,17.15,79.62,294.18,74,3,2.53
516,Ust-Kuyga,70.02,135.6,258.78,93,97,1.88
517,Pochutla,15.74,-96.47,299.15,83,75,0.46
518,Tingo María,-9.29,-76.01,296.44,78,95,0.99
519,Dunedin,-45.87,170.5,284.82,67,0,9.83
520,Portland,45.52,-122.68,288.15,51,20,0.73
521,Puerto Carreño,6.19,-67.49,300.14,79,97,3.83
522,Traverse City,44.76,-85.62,276.15,59,20,3.1
523,Pacific Grove,36.62,-121.92,296.15,13,1,2.6
524,Kaka,37.35,59.61,281.48,59,0,1.79
525,Ambilobe,-13.2,49.05,294.92,88,1,1.31
526,Balakhta,55.38,91.6,275.34,82,100,1.58
527,Kieta,-6.22,155.63,304.04,61,42,1.49
528,Corinth,37.94,22.96,288.15,60,42,0.45
529,Igarka,67.47,86.58,254.79,87,0,3.76
530,São Luiz Gonzaga,-28.41,-54.96,289.3,75,0,2.19
531,Iwanai,42.97,140.51,284.6,60,46,2.06
532,Bengkulu,-3.8,102.27,298.48,79,100,1.35
533,Darhan,49.49,105.92,272.15,86,0,2.98
534,Lábrea,-7.26,-64.8,296.49,98,91,0.65
535,Dossor,47.53,52.98,274.18,84,0,3.01
536,Makakilo City,21.35,-158.09,301.15,69,1,1.91
537,Ucluelet,48.93,-125.55,284.82,100,90,1.5
538,Manbij,36.53,37.95,289.15,36,0,0.5
539,Katherine,-14.47,132.27,305.15,46,0,1.0
540,Padang,-0.95,100.35,299.22,70,90,1.34
541,Alamosa,37.47,-105.87,271.15,79,90,1.05
542,Salé,34.04,-6.82,284.15,93,40,1.5
543,Bonham,33.58,-96.18,279.26,100,90,2.1
544,Yining,29.04,114.56,289.68,85,46,1.0
545,Sakakah,29.97,40.21,295.15,12,0,3.6
546,Muros,42.78,-9.06,288.15,92,99,3.18
547,Batemans Bay,-35.72,150.18,290.93,81,31,0.45
548,Bonnyville,54.27,-110.73,280.15,65,75,7.2
549,Black Diamond,47.31,-122.0,287.04,69,81,0.64
550,Noyabrsk,63.2,75.45,257.56,93,20,6.68
551,Chimbote,-9.09,-78.58,290.16,88,90,3.0
552,Poya,-21.35,165.15,301.42,50,65,2.09
